id,tag_name,LOC,dayDifference, dayDifferenceHours,changeLOC
16278522,dubbo-2.7.1,53956,18 days,2:36:21,4569
15798694,dubbo-2.6.6,49387,37 days,22:49:31,644
14953576,dubbo-2.7.0,48743,68 days,22:54:37,4218
14149538,dubbo-2.6.5,44525,57 days,1:00:06,-2120
13296821,dubbo-2.6.4,46645,21 days,8:06:23,2805
12054675,dubbo-2.6.3,43840,94 days,15:52:41,10898
10686866,dubbo-2.6.2,32942,68 days,23:58:53,861
10076477,dubbo-2.6.1,32081,3 days,8:10:31,2792
10040657,dubbo-2.5.10,29289,46 days,23:14:38,143
9345078,dubbo-2.5.9,29146,17 days,12:28:47,142
9136898,dubbo-2.6.0,29004,25 days,23:30:46,238
8849117,dubbo-2.5.8,28766,38 days,6:50:07,697
8375080,dubbo-2.5.7,28069,23 days,17:38:45,460
8075388,dubbo-2.5.6,27609,30 days,10:23:34,320
7717440,dubbo-2.5.5,27289,4 days,21:03:37,0
